INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
37	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_038	[敲打]	1	5	0	0	24	24	0	10
38	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_039	[再见]	1	1	0	0	24	24	0	10
39	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_040	[擦汗]	1	1	0	0	24	24	0	10
40	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_041	[抠鼻]	1	1	0	0	24	24	0	10
41	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_042	[鼓掌]	1	10	0	0	24	24	0	10
42	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_043	[糗大了]	1	1	0	0	24	24	0	10
43	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_044	[坏笑]	1	1	0	0	24	24	0	10
44	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_045	[左哼哼]	1	1	0	0	24	24	0	10
45	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_046	[右哼哼]	1	1	0	0	24	24	0	10
46	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_047	[哈欠]	1	10	0	0	24	24	0	10
47	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_048	[鄙视]	1	4	0	0	24	24	0	10
48	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_049	[委屈]	1	1	0	0	24	24	0	10
49	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_050	[快哭了]	1	1	0	0	24	24	0	10
50	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_051	[阴险]	1	1	0	0	24	24	0	10
51	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_052	[亲亲]	1	4	0	0	24	24	0	10
52	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_053	[吓]	1	1	0	0	24	24	0	10
53	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_054	[可怜]	1	1	0	0	24	24	0	10
54	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_055	[便便]	1	1	0	0	24	24	0	10
55	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_056	[菜刀]	1	1	0	0	24	24	0	10
56	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_057	[示爱]	1	1	0	0	24	24	0	10
57	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_058	[拥抱]	1	1	0	0	24	24	0	10
58	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_059	[强]	1	1	0	0	24	24	0	10
59	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_060	[弱]	1	1	0	0	24	24	0	10
60	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_061	[握手]	1	1	0	0	24	24	0	10
61	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_062	[胜利]	1	1	0	0	24	24	0	10
62	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_063	[抱拳]	1	1	0	0	24	24	0	10
63	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_064	[蛋糕]	1	1	0	0	24	24	0	10
64	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_065	[啤酒]	1	1	0	0	24	24	0	10
65	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_066	[勾引]	1	1	0	0	24	24	0	10
66	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_067	[爱你]	1	1	0	0	24	24	0	10
67	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_068	[咖啡]	1	1	0	0	24	24	0	10
68	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_069	[玩命]	1	1	0	0	24	24	0	10
69	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_070	[差劲]	1	1	0	0	24	24	0	10
70	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_071	[拳头]	1	1	0	0	24	24	0	10
71	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_072	[心碎]	1	1	0	0	24	24	0	10
72	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_073	[足球]	1	1	0	0	24	24	0	10
73	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_074	[篮球]	1	1	0	0	24	24	0	10
74	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_075	[乒乓球]	1	1	0	0	24	24	0	10
75	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_076	[NO]	1	1	0	0	24	24	0	10
76	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_077	[猪头]	1	1	0	0	24	24	0	10
77	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_078	[玫瑰]	1	1	0	0	24	24	0	10
78	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_079	[爆炸]	1	1	0	0	24	24	0	10
79	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_080	[爱心]	1	1	0	0	24	24	0	10
80	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_081	[凋谢]	1	1	0	0	24	24	0	10
81	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_082	[OK]	1	1	0	0	24	24	0	10
82	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_083	[太阳]	1	1	0	0	24	24	0	10
83	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_084	[礼物]	1	1	0	0	24	24	0	10
84	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_085	[闪电]	1	1	0	0	24	24	0	10
85	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_086	[招财猫]	1	1	0	0	24	24	0	10
86	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_087	[双喜]	1	1	0	0	24	24	0	10
87	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_088	[鞭炮]	1	1	0	0	24	24	0	10
88	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_089	[灯笼]	1	1	0	0	24	24	0	10
89	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_090	[喝彩]	1	1	0	0	24	24	0	10
90	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_091	[红烛]	1	1	0	0	24	24	0	10
91	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_092	[爆筋]	1	1	0	0	24	24	0	10
92	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_093	[骷髅]	1	1	0	0	24	24	0	10
93	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9000	[_银两]	0	1	0	0	24	24	0	10
94	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9001	[_交子]	0	1	0	0	24	24	0	10
95	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9002	[_元宝]	0	1	0	0	24	24	0	10
96	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9003	[_绑定元宝]	0	1	0	0	24	24	0	10
97	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9004	[_帮会通宝]	0	1	0	0	24	24	0	10
98	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9005	[_帮贡]	0	1	0	0	24	24	0	10
99	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9051	[骰子1]	0	1	0	0	24	24	0	10
100	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9052	[骰子2]	0	1	0	0	24	24	0	10
101	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9053	[骰子3]	0	1	0	0	24	24	0	10
102	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9054	[骰子4]	0	1	0	0	24	24	0	10
103	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9055	[骰子5]	0	1	0	0	24	24	0	10
104	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9056	[骰子6]	0	1	0	0	24	24	0	10
105	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9001	[_铜钱]	0	1	0	0	24	24	0	10
106	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9008	[_帮会资金]	0	1	0	0	24	24	0	10
107	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9009	[_许愿果]	0	1	0	0	24	24	0	10
108	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9010	[_宝珠]	0	1	0	0	24	24	0	10
109	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9011	[_积分]	0	1	0	0	24	24	0	10
110	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9012	[_桃李值]	0	1	0	0	24	24	0	10
111	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9050	[回流]	0	1	0	0	24	24	0	10
112	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9057	[空间照片]	0	1	0	0	24	24	0	10
113	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9058	[空间照片2]	0	1	0	0	24	24	0	10
114	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9013	[_扫荡卷]	0	1	0	0	24	24	0	10
115	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9014	[_情人玉]	0	1	0	0	24	24	0	10
116	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9023	[_侠义]	0	1	0	0	24	24	0	10
117	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9024	[_百炼精华]	0	1	0	0	24	24	0	10
118	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9006	[_宋辽积分]	0	1	0	0	24	24	0	10
119	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9027	[_玉虚葫]	0	1	0	0	24	24	0	10
120	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9029	[_圣诞袜子]	0	1	0	0	24	24	0	10
121	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9030	[_蓝色妖姬]	0	1	0	0	24	24	0	10
122	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_01	[#乔峰-感激不尽]	1	11	1	1	140	140	1	10
123	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_02	[#乔峰-谢谢老板]	1	7	1	1	140	140	1	10
124	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_03	[#乔峰-英雄留步]	1	14	1	1	140	140	1	10
125	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_04	[#乔峰-超赞]	1	11	1	1	140	140	1	10
126	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_05	[#乔峰-万万不可]	1	13	1	1	140	140	1	10
127	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_06	[#乔峰-大胆狂徒]	1	9	1	1	140	140	1	10
128	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_QF_07	[#乔峰-降龙十八掌]	1	16	1	1	140	140	1	10
129	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_01	[#虚竹-大家好]	1	7	2	1	140	140	1	10
130	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_02	[#虚竹-大吃一惊]	1	5	2	1	140	140	1	10
131	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_03	[#虚竹-溜了溜了]	1	4	2	1	140	140	1	10
132	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_04	[#虚竹-你确定]	1	12	2	1	140	140	1	10
133	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_05	[#虚竹-好饿啊]	1	7	2	1	140	140	1	10
134	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_06	[#虚竹-身体被掏空]	1	22	2	1	140	140	1	10
135	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_07	[#虚竹-哈哈哈]	1	4	2	1	140	140	1	10
136	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_XZ_08	[#虚竹-么么哒]	1	11	2	1	140	140	1	10
137	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9034	[_青翠柳枝]	0	1	0	0	24	24	0	10
138	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9035	[_劳动勋章]	0	1	0	0	24	24	0	10
139	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9036	[_沙漠金币]	0	1	0	0	24	24	0	10
140	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9039	[_龙元晶粹]	0	1	0	0	24	24	0	10
141	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9037	[_星掌门印信]	0	1	0	0	24	24	0	10
142	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9038	[_名动江湖]	0	1	0	0	24	24	0	10
143	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9040	[_迷你足球]	0	1	0	0	24	24	0	10
144	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9041	[_木材]	0	1	0	0	24	24	0	10
145	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9042	[_珍珠]	0	1	0	0	24	24	0	10
146	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9043	[_皮料]	0	1	0	0	24	24	0	10
147	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9047	[_天命印记]	0	1	0	0	24	24	0	10
148	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9044	[_玉石]	0	1	0	0	24	24	0	10
149	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9045	[_七巧果]	0	1	0	0	24	24	0	10
150	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9048	[_清洁度]	0	1	0	0	24	24	0	10
151	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9049	[_温馨度]	0	1	0	0	24	24	0	10
152	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9071	[_影的徽记]	0	1	0	0	24	24	0	10
153	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_094	[哞哞牛1]	1	7	3	1	24	24	0	5
154	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_095	[哞哞牛2]	1	8	3	1	24	24	0	5
155	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_096	[哞哞牛3]	1	3	3	1	24	24	0	5
156	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_097	[哞哞牛4]	1	11	3	1	24	24	0	5
157	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_098	[哞哞牛5]	1	4	3	1	24	24	0	5
158	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_099	[哞哞牛6]	1	3	3	1	24	24	0	5
159	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_100	[哞哞牛7]	1	4	3	1	24	24	0	5
160	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_101	[哞哞牛8]	1	4	3	1	24	24	0	5
161	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_102	[哞哞牛9]	1	4	3	1	24	24	0	5
162	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_103	[哞哞牛10]	1	4	3	1	24	24	0	5
163	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_104	[哞哞牛11]	1	4	3	1	24	24	0	5
164	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_105	[哞哞牛12]	1	8	3	1	24	24	0	5
165	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_106	[哞哞牛13]	1	4	3	1	24	24	0	5
166	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_107	[哞哞牛14]	1	2	3	1	24	24	0	5
167	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_108	[哞哞牛15]	1	12	3	1	24	24	0	5
168	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_109	[哞哞牛16]	1	2	3	1	24	24	0	5
169	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_110	[哞哞牛17]	1	5	3	1	24	24	0	5
170	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_111	[哞哞牛18]	1	4	3	1	24	24	0	5
171	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_112	[哞哞牛19]	1	16	3	1	24	24	0	5
172	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_113	[哞哞牛20]	1	7	3	1	24	24	0	5
173	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_114	[哞哞牛21]	1	2	3	1	24	24	0	5
174	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_115	[哞哞牛22]	1	8	3	1	24	24	0	5
175	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_116	[哞哞牛23]	1	2	3	1	24	24	0	5
176	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_117	[哞哞牛24]	1	2	3	1	24	24	0	5
177	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_118	[哞哞牛25]	1	11	3	1	24	24	0	5
178	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_119	[哞哞牛26]	1	2	3	1	24	24	0	5
179	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_120	[哞哞牛27]	1	4	3	1	24	24	0	5
180	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_121	[哞哞牛28]	1	4	3	1	24	24	0	5
181	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_122	[哞哞牛29]	1	2	3	1	24	24	0	5
182	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_123	[哞哞牛30]	1	2	3	1	24	24	0	5
183	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_124	[哞哞牛31]	1	5	3	1	24	24	0	5
184	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_125	[哞哞牛32]	1	4	3	1	24	24	0	5
185	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_126	[哞哞牛33]	1	3	3	1	24	24	0	5
186	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_127	[哞哞牛34]	1	3	3	1	24	24	0	5
187	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_128	[哞哞牛35]	1	2	3	1	24	24	0	5
188	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_129	[哞哞牛36]	1	4	3	1	24	24	0	5
189	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_130	[哞哞牛37]	1	8	3	1	24	24	0	5
190	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_131	[哞哞牛38]	1	2	3	1	24	24	0	5
191	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9072	[_龙元点数]	0	1	0	0	24	24	0	10
192	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9074	[_秦皇玉]	0	1	0	0	24	24	0	10
193	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9073	[_枫叶]	0	1	0	0	24	24	0	10
194	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9075	[_战国币]	0	1	0	0	24	24	0	10
195	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9076	[_感恩彩蛋]	0	1	0	0	24	24	0	10
196	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9077	[_征战功勋]	0	1	0	0	24	24	0	10
197	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9078	[_征战军资]	0	1	0	0	24	24	0	10
198	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_132	[悼念]	2	1	0	0	24	24	0	10
199	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_133	[百合]	2	1	0	0	24	24	0	10
200	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9082	[_刻纹碎片]	0	1	0	0	24	24	0	10
201	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9079	[_胖胖雪人]	0	1	0	0	24	24	0	10
202	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9008	[_元符通宝]	0	1	0	0	24	24	0	10
203	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9083	[_冰心如意]	0	1	0	0	24	24	0	10
204	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9084	[_幸运草]	0	1	0	0	24	24	0	10
205	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9086	[_金猪罐]	0	1	0	0	24	24	0	10
206	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9087	[_银票]	0	1	0	0	24	24	0	10
207	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9088	[_迎春花]	0	1	0	0	24	24	0	10
208	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9089	[_桃花酿]	0	1	0	0	24	24	0	10
209	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_9091	[_群侠令]	0	1	0	0	24	24	0	10
