INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
30000024	3	0	0	24	体验专属金宝箱	1	体验服专属金宝箱，打开可以获得#Y300绑定元宝#l。	1	50006	999	701002	1	-1	0	1	-1	-1	6	4	1	0	0	-1	-1	8	-1	1	0
30000025	3	0	0	25	初级熔炼宝箱	30	打开随机获得#Y1级棉布、1级丝线、1级矿石、1级皮毛#l宝箱奖励奖励。	1	50002	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000026	3	0	0	26	中级熔炼宝箱	50	打开随机获得#Y2级棉布、2级丝线、2级矿石、2级皮毛#l宝箱奖励奖励。	1	50003	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000027	3	0	0	27	高级熔炼宝箱	70	打开随机获得#Y3级棉布、3级丝线、3级矿石、3级皮毛#l宝箱奖励奖励。	1	50004	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000028	3	0	0	28	特级熔炼宝箱	90	打开随机获得#Y4级棉布、4级丝线、4级矿石、4级皮毛#l宝箱奖励奖励。	1	50005	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000029	3	0	0	29	欢乐木宝箱	1	打开可以获得5个#Y捕兽绳#l、1个#Y英雄·花#l和1个#Y枫叶#l。	1	50002	999	701002	1	-1	0	1	-1	-1	6	1	1	0	0	-1	-1	8	-1	1	0
30000030	3	0	0	30	欢乐铜宝箱	1	打开可以获得1个#Y1级宝石宝箱#l、1个#Y英雄·茶#l和2个#Y枫叶#l。	1	50003	999	701002	1	-1	0	1	-1	-1	6	1	1	0	0	-1	-1	8	-1	1	0
30000031	3	0	0	31	欢乐铁宝箱	1	打开可以获得1张#Y藏宝图#l、1个#Y英雄·酒#l和3个#Y枫叶#l。	1	50004	999	701002	1	-1	0	1	-1	-1	6	2	1	0	0	-1	-1	8	-1	1	0
30000032	3	0	0	32	欢乐银宝箱	1	打开可以获得#Y一千银两#l、1个#Y英雄·诗#l和4个#Y枫叶#l。	1	50005	999	701002	1	-1	0	1	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000033	3	0	0	33	欢乐金宝箱	1	打开可以获得#Y50绑定元宝#l、1个#Y潜能果#l和5个#Y枫叶#l。	1	50006	999	701002	1	-1	0	1	-1	-1	6	4	1	0	0	-1	-1	8	-1	1	0
30000034	3	0	0	34	当归	70	上好的补药，使用家园的炼丹炉可制造#G高级金创药#l。	1	65136	999	-1	1	-1	0	0	-1	-1	-1	2	1	0	0	-1	-1	8	542	1	0
30000035	3	0	0	35	蜂蜜	70	上好的补药，使用家园的炼丹炉可制造#G高级回春丹#l。	1	65137	999	-1	1	-1	0	0	-1	-1	-1	2	1	0	0	-1	-1	8	-1	1	0
30000036	3	0	0	36	人参	70	上好的补药，使用家园的炼丹炉可制造#G高级练气丹#l。	1	65138	999	-1	1	-1	0	0	-1	-1	-1	2	1	0	0	-1	-1	8	543	1	0
30000037	3	0	0	37	老三环秘药	86	使用后可激活以下秘药效果：#G在挑战天命老三环副本时，可获得大幅增伤和伤害减伤。	1	58631	999	200113	1	-1	0	1	-1	6	-1	3	1	0	0	-1	-1	8	551	1	0
30000038	3	0	0	38	燕子坞秘药	86	使用后可激活以下秘药效果：#G在挑战天命燕子坞副本时，可获得大幅增伤和伤害减伤。	1	58632	999	200113	1	-1	0	1	-1	6	-1	3	1	0	0	-1	-1	8	552	1	0
30000039	3	0	0	39	四绝庄秘药	86	使用后可激活以下秘药效果：#G在挑战天命四绝庄副本时，可获得大幅增伤和伤害减伤。	1	58633	999	200113	1	-1	0	1	-1	6	-1	3	1	0	0	-1	-1	8	553	1	0
30000040	3	0	0	40	缥缈峰秘药	86	使用后可激活以下秘药效果：#G在挑战天命缥缈峰副本时，可获得大幅增伤和伤害减伤。	1	58634	999	200113	1	-1	0	1	-1	6	-1	3	1	0	0	-1	-1	8	554	1	0
#30000041	3	0	0	41	4级棉布宝箱	50	打开后随机获得一定数量的#Y4级棉布#l。	1	50005	999	-1	1	-1	0	1	-1	6	-1	0	1	0	0	-1	-1	8	-1	1	0
#30000042	3	0	0	42	4级丝线宝箱	50	打开后随机获得一定数量的#Y4级丝线#l。	1	50005	999	-1	1	-1	0	1	-1	6	-1	0	1	0	0	-1	-1	8	-1	1	0
#30000043	3	0	0	43	4级矿石宝箱	50	打开后随机获得一定数量的#Y4级矿石#l。	1	50005	999	-1	1	-1	0	1	-1	6	-1	0	1	0	0	-1	-1	8	-1	1	0
#30000044	3	0	0	44	4级皮毛宝箱	50	打开后随机获得一定数量的#Y4级毛皮#l。	1	50005	999	-1	1	-1	0	1	-1	6	-1	0	1	0	0	-1	-1	8	-1	1	0
30000045	3	0	0	45	宝石提升符	10	提升已镶嵌的#G5级和5级以上#l的宝石。	98000	50040	999	-1	1	-1	0	0	-1	-1	-1	4	1	0	0	-1	-1	8	309	1	1
30000046	3	0	0	46	天命神符	10	雕琢#G4级和4级以上#l的双抗性属性宝石或双减抗属性宝石。	-1	50451	999	-1	1	-1	0	0	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	1
30000047	3	0	0	47	双冥·天符	10	雕琢#G4级和4级以上#l的减抗宝石。	98000	50452	999	-1	1	-1	0	0	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	1
30000048	3	0	0	48	顿悟丹	68	英雄#G乔峰#l觉醒所需的必备材料。#r乔峰觉醒：提高经脉#G乾元技#l效果，最多每级可减少#G3%#l的被控制时间（原技能为可减少2%，不需指点即可生效）。#r#Y此道具可从元宝商城道具侠骨柔情礼盒中概率获得。	-1	50457	999	-1	1	-1	0	0	1060101004	-1	6	4	1	0	0	22	999999	8	-1	1	0
30000049	3	0	0	49	易容匣	68	英雄#G阿朱#l觉醒所需的必备材料。#r阿朱觉醒：受到的#G内外攻#l伤害降低，最多可降低#G5%#l的内外攻伤害（不需指点即可生效）。#r#Y此道具可从年终回馈活动获得，也可从积分商店中购买。	-1	50490	999	-1	1	-1	0	0	1060101004	-1	6	4	1	0	0	-1	-1	8	514	1	0
30000050	3	0	0	50	太玄经	68	英雄#G王语嫣#l觉醒所需的必备材料。#r王语嫣觉醒：角色等级#G每级#l额外增加#G体力#l，最多可每级额外增加#G5#l点体力（不需指点即可生效， 不包括真武修行等级）。#r#Y此道具可从2019年2月签到获得，也可从积分商店中购买。	-1	50494	999	-1	1	-1	0	0	1060101004	-1	6	4	1	0	0	-1	-1	8	555	1	0
30000051	3	0	0	51	柔丝索	68	英雄#G丁春秋#l觉醒所需的必备材料。#r丁春秋觉醒：根据觉醒等级不同，有#G几率（1%-5%）#l将受到其他玩家的伤害#G反弹回去#l，最多可造成他人血量#G5%#l的反弹伤害（不需指点即可生效）。#r#Y此道具可从2019年群龙聚首领豪礼活动中获得。	-1	50510	999	-1	1	-1	0	0	1060101004	-1	6	4	1	0	0	-1	-1	8	-1	1	0
30000061	3	0	0	61	金创药	1	使用后，回复部分血量值。#G（冷却时间30秒）	10	50023	999	701000	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	1	8	-1	1	1
30000062	3	0	0	62	练气丹	1	使用后，回复部分气力值。#G（冷却时间30秒）	10	50042	999	701001	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	1	8	-1	1	1
30000063	3	0	0	63	虹耀石	13	奇特的矿石，可用于时装染色。#r#G点击使用可自动前往洛阳伊天彩处。	1	52201	999	-1	1	-1	0	0	-1	6	-1	3	1	0	0	-1	-1	8	7	1	1
30000064	3	0	0	64	物资箱	20	一个金灿灿的箱子，里面应该装了不少#G宝物#l。	1	50005	999	701002	1	-1	0	0	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000065	3	0	0	65	藏宝图	25	一张古旧的图纸，上面用朱笔绘着一个奇怪的地点，似乎藏着什么宝物。	10000	50801	999	701004	1	-1	0	0	-1	-1	-1	2	0	0	0	-1	-1	8	216	1	0
30000066	3	0	0	66	稀世藏宝图	25	"画着藏有稀世宝物地点的宝图，使用者可获得#Y1宝珠#l,通过背包-属性-代币界面打开藏宝阁可花费宝珠购买稀世宝物。#r#G稀世藏宝图开出藏宝洞时，开图人等级越高，出现神兽天命玄凤几率越大，且击杀后开图人必得#Y玄凤元神。"	80000	50801	999	701004	1	-1	0	0	-1	-1	-1	3	0	0	0	-1	-1	8	217	1	0
30000067	3	0	0	67	经验	1	大量#G经验#l，可用于角色升级。	1	50037	999	-1	1	-1	0	0	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000068	3	0	0	68	赏金物资箱	22	一个金灿灿的箱子，里面应该装了不少#G宝物#l。	1	50005	999	701002	1	-1	0	0	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000069	3	0	0	69	100元宝	1	使用之后可以获得#Y100元宝#l。	1	50032	999	701005	1	-1	0	1	-1	-1	1	4	1	0	0	-1	-1	8	-1	1	1
30000070	3	0	0	70	300元宝	1	使用之后可以获得#Y300元宝#l。	1	50032	999	701005	1	-1	0	1	-1	-1	1	4	1	0	0	-1	-1	8	-1	1	1
30000079	3	0	0	79	丐帮30级宝箱	1	打开获得#Y8件丐帮装备#l。	1	50002	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000080	3	0	0	80	峨嵋30级宝箱	1	打开获得#Y8件峨嵋装备#l。	1	50002	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000081	3	0	0	81	天山30级宝箱	1	打开获得#Y8件天山装备#l。	1	50002	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000082	3	0	0	82	逍遥30级宝箱	1	打开获得#Y8件逍遥装备#l。	1	50002	999	701002	1	-1	0	1	-1	-1	-1	0	1	0	0	-1	-1	8	-1	1	0
30000083	3	0	0	83	10绑定元宝	1	使用之后可以获得#Y10绑定元宝#l。	1	50031	999	701005	1	-1	0	1	-1	-1	1	3	1	0	0	-1	-1	8	-1	1	1
30000084	3	0	0	84	20绑定元宝	1	使用之后可以获得#Y20绑定元宝#l。	1	50031	999	701005	1	-1	0	1	-1	-1	1	3	1	0	0	-1	-1	8	-1	1	1
30000085	3	0	0	85	50绑定元宝	1	使用之后可以获得#Y50绑定元宝#l。	1	50031	999	701005	1	-1	0	1	-1	-1	1	3	1	0	0	-1	-1	8	-1	1	1
30000086	3	0	0	86	100绑定元宝	1	使用之后可以获得#Y100绑定元宝#l。	1	50031	999	701005	1	-1	0	1	-1	-1	1	4	1	0	0	-1	-1	8	-1	1	1
30000087	3	0	0	87	2000元宝	1	使用之后可以获得#Y2000元宝#l。	1	50032	999	701005	1	-1	0	1	-1	-1	1	4	1	0	0	-1	-1	8	-1	1	1
30000088	3	0	0	88	10000元宝	1	使用之后可以获得#Y10000元宝#l。#r#G测试专用	1	50032	999	701005	1	-1	0	1	-1	-1	1	4	1	0	0	-1	-1	8	-1	1	1
30000089	3	0	0	89	夺宝马贼宝箱	20	打败夺宝马贼一定概率获得#Y宝箱#l的奖励。里面有神秘惊喜的礼物等你呦！	1	50005	999	701002	1	-1	0	1	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000090	3	0	0	90	10英雄令	1	使用之后可以获得#Y10英雄令#l。	1	50002	999	701005	1	-1	0	1	-1	-1	1	2	1	0	0	-1	-1	8	-1	1	1
30000091	3	0	0	91	10元宝	1	使用之后可以获得#Y10元宝#l。	1	50032	999	701005	1	-1	0	1	-1	-1	1	3	1	0	0	-1	-1	8	-1	1	1
#以下道具为用来界面显示用，不实际放出								1													0	0	-1	-1	8	-1	1	
30000092	3	0	0	92	铜钱	1	大量#G铜钱#l，可用于角色养成消耗。	1	50029	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000093	3	0	0	93	银两	1	大量#G银两#l，可用于角色养成消耗和玩家交易。	1	50030	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000094	3	0	0	94	门派套装	1	#G门派#l套装。	1	56132	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000095	3	0	0	95	打造符	1	用于#G生活技能#l打造的符纸。	1	52004	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000096	3	0	0	96	生活材料	1	用于#G生活技能#l打造的材料。	1	52008	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000097	3	0	0	97	珍兽养成道具	1	用于#G珍兽宝宝#l和#G二代珍兽#l的属性培养。	1	53105	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000098	3	0	0	98	珍兽技能书	1	用于#G珍兽#l技能学习和升级。	1	50015	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000099	3	0	0	99	英雄谱礼物	1	用于提高#G英雄好感度#l的道具，当与英雄好感度达到一定程度，更可以获得修为上的指点。	1	21014	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000100	3	0	0	100	橙色英雄拜帖	1	用于结识#G英雄谱#l群豪的拜帖。	1	21006	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000101	3	0	0	101	英雄令	1	英雄试炼活动里获得的代币，用于#G黑市#l购买物品。	1	50002	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000102	3	0	0	102	新莽神符	1	#G神器突破#l所需道具，神器突破成功后可#G改变外观#l并#G提升神器技能等级#l。	1	50018	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000103	3	0	0	103	强化打造材料	1	进行#G强化打造#l时所必需的材料。	1	50034	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000104	3	0	0	104	江南锁甲马	1	大宋皇帝御赐的骑乘。#r#G移动速度+100%#l	1	52701	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000105	3	0	0	105	大漠金戈马	1	背有双翼，骨挺筋健，嘶吼似雷，奔驰若风。#r#G移动速度：+85%#l	1	50013	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000106	3	0	0	106	元宝	1	大量#G元宝#l，可购买#G元宝商店#l的商品。	1	50032	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000107	3	0	0	107	紫色英雄拜帖	1	用于结识#G英雄谱#l群豪的拜帖。	1	21006	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000108	3	0	0	108	宝石	1	用于装备#G镶嵌#l，大幅提升装备属性。	1	52518	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000109	3	0	0	109	强化精华	1	用于装备#G强化#l，大幅提升装备属性。	1	50054	999	-1	1	-1	0	1	-1	-1	-1	2	1	0	0	-1	-1	8	-1	1	0
30000110	3	0	0	110	神兽碎片	1	集齐一定数量神兽碎片可以获得#G稀有神兽#l一只。	1	53110	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000111	3	0	0	111	暗器打造	1	用于打造飞蝗石的材料#G玄昊玉#l、打造梅花镖的材料#G寒冰星屑#l和打造冰魄神针的材料#G女娲石#l。	1	54509	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000112	3	0	0	112	精美时装	1	可更换角色初始门派#G时装#l。	1	52202	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000113	3	0	0	113	华丽坐骑	1	可大幅增加角色#G移动速度#l，更有华丽的外观。	1	52709	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000114	3	0	0	114	银两	1	大量#G银两#l，可用于角色养成消耗和玩家交易。	1	50030	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000115	3	0	0	115	经验	1	大量#G经验#l，可用于角色升级。	1	50037	999	-1	1	-1	0	0	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000116	3	0	0	116	马贼宝箱	1	打败夺宝马贼获得#Y宝箱#l的奖励。	1	50004	999	701002	1	-1	0	1	-1	-1	6	2	1	0	0	-1	-1	8	-1	1	0
30000117	3	0	0	117	队长宝箱	1	在活动中，辛苦带领小伙伴们的#G奖励#l。	1	50004	999	701002	1	-1	0	1	-1	-1	6	2	1	0	0	-1	-1	8	-1	1	0
30000118	3	0	0	118	夺宝马贼宝箱	1	打败夺宝马贼一定概率获得#Y宝箱#l的奖励。里面有神秘惊喜的礼物等你呦！	1	50005	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000119	3	0	0	119	个人威望	1	参与华山论剑活动获得的#Y个人威望#l，活动结束后个人威望#G前100名#l的玩家可根据具体排名获得不同品质的#Y加属性称号#l奖励！	1	50240	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000120	3	0	0	120	复国宝箱	20	打败慕容博获得#Y宝箱#l的奖励，打开后获得一个#Y新莽神符#l！	1	50005	999	701002	1	-1	0	1	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000121	3	0	0	121	打造材料	20	装备#G打造#l所需的打造图和打造符。	1	52004	999	-1	1	-1	0	1	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000122	3	0	0	122	一阶段奖励	1	完成帮会任务#G一阶段#l的奖励，含有#Y帮贡、帮会通宝、帮会资金以及铜钱#l。帮会资金将于周结算时自动加入帮会内。	1	50002	999	-1	1	-1	0	1	-1	-1	6	0	1	0	0	-1	-1	8	-1	1	0
30000123	3	0	0	123	二阶段奖励	1	完成帮会任务#G二阶段#l的奖励，含有#Y帮贡、帮会通宝、帮会资金、铜钱以及宝石#l。帮会资金将于周结算时自动加入帮会内。	1	50003	999	-1	1	-1	0	1	-1	-1	6	1	1	0	0	-1	-1	8	-1	1	0
30000124	3	0	0	124	三阶段奖励	1	完成帮会任务#G三阶段#l的奖励，含有#Y帮贡、帮会通宝、帮会资金、铜钱以及宝石#l。帮会资金将于周结算时自动加入帮会内。	1	50004	999	-1	1	-1	0	1	-1	-1	6	2	1	0	0	-1	-1	8	-1	1	0
30000125	3	0	0	125	四阶段奖励	1	完成帮会任务#G四阶段#l的奖励，含有#Y帮贡、帮会通宝、帮会资金、铜钱以及宝石#l。帮会资金将于周结算时自动加入帮会内。	1	50005	999	-1	1	-1	0	1	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
30000126	3	0	0	126	五阶段奖励	1	完成帮会任务#G五阶段#l的奖励，含有#Y帮贡、帮会通宝、帮会资金、铜钱以及宝石#l。帮会资金将于周结算时自动加入帮会内。	1	50006	999	-1	1	-1	0	1	-1	-1	6	4	1	0	0	-1	-1	8	-1	1	0
30000127	3	0	0	127	稀有珍兽技能书	1	稀有珍兽技能书包含：#G极冰凝杀、劫火焚杀、腐毒蚀杀、玄雷击杀、破冰、御火、鸣玄、伤毒#l。#r#G帮会杀星和帮会御膳活动比拼结束后，上架大量稀有珍兽技能书到拍卖行。	1	50003	999	-1	1	-1	0	1	-1	-1	-1	3	1	0	0	-1	-1	8	-1	1	0
30000128	3	0	0	128	珍兽内丹	25	远古洪荒，碧海苍灵所凝化，可于兽魂聚灵法阵上使用，提高主人属性。#r#G帮会杀星和帮会御膳活动比拼结束后，上架大量珍兽内丹到拍卖行。	1	53503	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000129	3	0	0	129	珍兽内丹	25	远古洪荒，碧海苍灵所凝化，可于兽魂聚灵法阵上使用，提高主人属性。	1	53503	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000130	3	0	0	130	女娲石	64	女娲补天时遗留下的奇石。可用于#G暗器冰魄神针#l的进阶。	75000	54506	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000131	3	0	0	131	珍兽内丹	25	远古洪荒，碧海苍灵所凝化，可于兽魂聚灵法阵上使用，提高主人属性。#r#G帮会杀星和帮会御膳活动比拼结束后，上架中量珍兽内丹到拍卖行。	1	53503	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000132	3	0	0	132	绑定元宝	1	可用于购买#G绑定元宝商店#l内的商品	1	50031	1	-1	1	-1	0	1	-1	-1	6	4	1	0	0	-1	-1	8	-1	1	0
30000133	3	0	0	133	论剑称号	40	华山论剑活动奖励的#Y加属性称号#W，1至5名为[FF9D1F]橙色品质[-]，6至20名为[F59DFF]紫色品质[-]，21至50名为[00FFFC]蓝色品质[-]，51至100名为[7AFF39]绿色品质[-]。	1	50094	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000134	3	0	0	134	论剑宝箱	40	华山论剑中累计战斗场次达到#G1场#W、#G3场#W、#G6场#W、#G8场#W分别可以获得不同品质的论剑宝箱，论剑宝箱打开后可以获得大量#Y元宝道具#W奖励。	1	50004	999	-1	1	-1	0	1	-1	-1	-1	4	1	0	0	-1	-1	8	-1	1	0
30000135	3	0	0	135	名望玉令	15	名望玉令，闯荡江湖的身份象征。#r#G晋升名望所必需物品	1	50176	999	-1	1	-1	0	1	-1	-1	1	4	1	0	0	-1	-1	8	-1	1	0
