int	string	string
88	代码字典	多方珍兽必须为异性
89	代码字典	只有珍兽宝宝可以繁殖
90	代码字典	你们的珍兽快乐度不足100
91	代码字典	你们的珍兽等级差不能大于5级
92	代码字典	你们的珍兽已经有其他配偶了
93	代码字典	你们的珍兽的等级不足30级，不能繁殖
94	代码字典	你们的珍兽距离上一次繁殖时的等级差还不足20级
95	代码字典	对不起，加锁状态下的珍兽是不能参与繁殖的
96	代码字典	你们的现金不够支付珍兽繁殖费用
97	代码字典	你们的珍兽不能是出战状态
98	代码字典	你们的珍兽的寿命不足1000
99	代码字典	对不起，你们并没有珍兽在这里繁殖
100	代码字典	对不起，你们的珍兽并不在一起繁殖
101	代码字典	珍兽栏位已满，请清理后再试
102	代码字典	您不在普通场景且目标和您不在同一场景
103	代码字典	目标已经取消了对您的邀请
104	代码字典	邀请者并没有骑上坐骑
105	代码字典	被邀请者必须没有骑上坐骑
106	代码字典	申请者必须没有骑上坐骑
107	代码字典	被邀请者必须为休闲状态
108	代码字典	#H对方与您的距离太远
109	代码字典	#H骑乘拥有者与您的距离太远
110	代码字典	被邀请者不能变身状态
111	代码字典	申请者不能变身状态
112	代码字典	被邀请者必须不能在坐骑上
113	代码字典	邀请者不能在组队跟随状态
114	代码字典	#H对方目前处于组队跟随状态，无法被邀请同骑
115	代码字典	#H你目前处于组队跟随状态，无法申请同骑
116	代码字典	当前坐骑无法多人使用
117	代码字典	多人骑乘满载了
118	代码字典	隐身状态，无法多人骑乘
119	代码字典	漕运状态，无法多人骑乘
120	代码字典	跑商状态，无法多人骑乘
121	代码字典	摆摊状态，无法多人骑乘
122	代码字典	您已经死亡，无法那样做
123	代码字典	您无法移动
124	代码字典	您正处于组队跟随状态，无法那样做
125	代码字典	您正处在组队跟随状态，无法那样做
126	代码字典	您现在无法那样做
127	代码字典	您现在无法那样做
128	代码字典	您正在坐骑上，无法那样做
129	代码字典	您正在坐骑上，无法那样做
130	代码字典	骑乘时无法进行这种操作
131	代码字典	恐惧状态下无法进行这种操作
132	代码字典	摆摊状态无法进行这种操作
133	代码字典	您必须在站立状态下才能做
134	代码字典	出站宠不能合成
135	代码字典	您的宠不够30级
136	代码字典	变异宠不能合成
137	代码字典	已交过配的珍兽不能合成
138	代码字典	别急，你们的珍兽还未繁殖完毕
139	代码字典	对不起，您身上的背包空间不够2个
140	代码字典	这个珍兽目前不属于您，不能捕捉
141	代码字典	查询珍兽繁殖进度
142	代码字典	生命值已满
143	代码字典	内力值已满
144	代码字典	行进方向上有障碍物
145	代码字典	从现在起，如果十分钟内不参与对战，您将自动进入和平模式
146	代码字典	查找不到该玩家或玩家不在线
147	代码字典	对方等级太低
148	代码字典	您的等级太低，决斗行为还不大合适您
149	代码字典	您杀气太重，还是收手吧
150	代码字典	您已经和目标决斗了
151	代码字典	您的决斗名额都排满了，还是先解决一些吧
152	代码字典	目标的决斗日程都安排满了，您还是等一等吧
153	代码字典	您现在很忙，等会再试试吧
154	代码字典	目标现在很忙，等会再试试吧
155	代码字典	危险操作，请先打开二级密码
156	代码字典	宣战列表已满
157	代码字典	您已经和目标宣战了
158	代码字典	目标已无空间
159	代码字典	您正处于搭乘状态
160	代码字典	您并处于搭乘状态
161	代码字典	目标已经远离
162	代码字典	您正处于骑乘状态
163	代码字典	您的珍兽正处于出战状态
164	代码字典	您正处在组队跟随状态
165	代码字典	您正处在多人骑乘状态
166	代码字典	您正处于变身状态
167	代码字典	对不起，您身上携带的铜钱不足
168	代码字典	您没有权限申请城市
169	代码字典	您需要筹集1000#-02的城市建设资金
170	代码字典	交易中无法进行此操作
171	代码字典	道具被锁定
172	代码字典	当前状态不能进行这个动作
173	代码字典	对不起，您的门派贡献度不足
174	代码字典	您现在的精神虚弱，无法配合珍兽使用强力技能
175	代码字典	请放入宝石镶嵌符
176	代码字典	您选中的珍兽携带等级与此道具对应的携带等级不符
177	代码字典	缺少特殊制造材料，请确认后再试
178	代码字典	您只能对宝宝，变异，二代珍兽进行洗点操作
179	代码字典	您的珍兽无需洗点
180	代码字典	需要炼兽丹
181	代码字典	珍兽级别过高
182	代码字典	在安全时间内不能进行操作
183	代码字典	您的心法等级不足，无法影响该等级的目标
184	代码字典	该位置需要使用特殊方式才能到达
185	代码字典	请选择目标后使用该技能
186	代码字典	支取成功
187	代码字典	界面已更新，请重新打开
188	代码字典	出售数量太多
189	代码字典	背包已满
190	代码字典	打开设置二级密码界面
191	代码字典	打开修改耳机密码界面
192	代码字典	打开解锁界面
193	代码字典	珍兽已经有了配偶
194	代码字典	玩家商店存入本金成功。。。
195	代码字典	玩家商店存入盈利资金成功
196	代码字典	对不起，此处只能对前三个孔进行镶嵌
197	代码字典	对不起您的装备没有第四个孔洞，无法进行极限镶嵌
198	代码字典	对不起，您的装备已经进行过极限镶嵌
199	代码字典	对不起，必须前三个孔全部镶嵌上宝石才能进行极限镶嵌
200	代码字典	对不起，此类宝石无法进行极限镶嵌
201	代码字典	珍兽舍利子
202	代码字典	只有宝宝，二代，变异可以炼制舍利子
203	代码字典	珍兽未到30级，不能炼制
204	代码字典	在帮会征讨时，点开该按钮能够看到当前帮会征讨的积分情况
205	代码字典	暗器调整中，只能放入暗器
206	代码字典	组队跟随时无法使用技能
207	代码字典	目标无敌，无法使用技能
208	代码字典	目标无敌，无法使用技能
209	代码字典	需要验证电话密保
210	代码字典	需要输入二级密码（带提示“由于电话密保关闭因而需要输入二级密码”）
211	代码字典	请先卸下珍兽装备
212	代码字典	队长开启了组队跟随
213	代码字典	珍兽成长率未鉴定
214	代码字典	元宝绑定成功
215	代码字典	元宝消费太多（用于元宝绑定的情况，因为那个时候不需要打开商店）
216	代码字典	防沉迷状态
217	代码字典	发起交易的人处于防沉迷中
218	代码字典	被交易的人处于防沉迷中
219	代码字典	您已经有一只珍兽正在繁殖了
220	代码字典	珍兽出战状态，不能摆摊
221	代码字典	单人珍兽繁殖成功
222	代码字典	单人珍兽繁殖道具缺少
223	代码字典	对不起，您身上的背包空间不够4个
224	代码字典	单人珍兽已经在繁殖
225	代码字典	单人珍兽繁殖幻化
226	代码字典	等级不足
227	代码字典	已有配偶
228	代码字典	距上一次不足20级
229	代码字典	必须互为异性
230	代码字典	系统繁忙，请再次尝试
231	代码字典	单人珍兽繁殖没有珍兽在这里繁殖
232	代码字典	单人珍兽繁殖不是珍兽宝宝
233	代码字典	单人珍兽繁殖两只珍兽不是同类型
234	代码字典	单人珍兽繁殖珍兽快乐度不足
235	代码字典	单人珍兽繁殖铜钱不足
236	代码字典	繁殖珍兽不能为出站状态
237	代码字典	单人珍兽繁殖珍兽寿命不足1000
238	代码字典	单人珍兽繁殖不允许组队领取
239	代码字典	打开设置安全时间界面
240	代码字典	角色等级≥45级后才能使用附体功能
241	代码字典	现在忙
242	代码字典	该珍兽正处于出战状态，无法进行兽魂附体操作
243	代码字典	该珍兽寿命不足，请尽快进行延寿
244	代码字典	交易中的珍兽不可以附身
245	代码字典	珍兽处于附体状态，无法出战
246	代码字典	珍兽寿命为0，无法继续附体，已被收回
247	代码字典	单人珍兽繁殖珍兽不能为附体状态
248	代码字典	您们的珍兽不能是附体状态
249	代码字典	不能在副本中转换为团队
250	代码字典	不能对飞行状态的玩家使用道具
251	代码字典	不能对飞行状态的玩家使用技能
252	代码字典	出战珍兽寿命低于2200
253	代码字典	附体珍兽寿命低于2200
254	代码字典	对方处于飞行状态，不能使用该技能
255	代码字典	KVK面对交易屏蔽
256	代码字典	能量不足
257	代码字典	想交易的对方处于离线摆摊中
258	代码字典	该玩家正在离线摆摊，无法查看装备，珍兽信息
259	代码字典	雇佣系统的防沉迷
260	代码字典	没有任务或者任务已完成
261	代码字典	请先给装备打孔，否则无法进行宝石镶嵌
262	代码字典	交易失败，对方的珍兽栏没有足够的空位
263	代码字典	交易失败，您的珍兽栏位已放不下更多的珍兽
264	代码字典	提示决斗失败
265	代码字典	百兽精通您的等级不足（捕捉）
266	代码字典	百兽精通您的等级不足（购买）
267	代码字典	百兽精通您的等级不足（出战）
268	代码字典	百兽精通您的等级不足（附体）
269	代码字典	此招式未被激活
270	代码字典	百兽精通您的等级不足（取回）
271	代码字典	武林秘籍引导任务，定身BUFF
272	代码字典	争霸赛服务器禁止交易
273	代码字典	争霸赛服务器禁止摆摊
274	代码字典	畅易阁安全时间提示
275	代码字典	由于您存在异常行为，已经被禁止交易4天
276	代码字典	跨服比武大会服务器禁止交易
277	代码字典	跨服比武大会服务器禁止摆摊
278	代码字典	孩子出战，不能上BUG
279	代码字典	请召回子女后再摆摊
280	代码字典	地府内无法召唤出子女
281	代码字典	骑乘时无法召唤出子女
282	代码字典	授权安全模式已开启
283	代码字典	授权安全模式已关闭
284	代码字典	授权安全模式开启成功
285	代码字典	授权安全模式关闭成功
286	代码字典	需要验证贴身密保
287	代码字典	需要短信验证
288	代码字典	城战中，无法召唤子女
289	代码字典	帮会建设，安全时间内，无法建造建筑物
290	代码字典	处于硬件密保状态
291	代码字典	KVK面对面交易屏蔽跨服交易
292	代码字典	提交任务动态NPC场景有误
293	创建登陆-提示	请输入账号密码
294	创建登陆-提示	账号不存在，请重新输入或注册
295	创建登陆-提示	密码有误，请重新输入
296	创建登陆-提示	无效服务器，请重新选择（296）
297	创建登陆-提示	服务器异常，请稍后再试（295）
298	创建登陆-提示	请输入角色名称
299	创建登陆-提示	角色名称含有非法字符，请重新输入
300	创建登陆-提示	角色名称已被占用，请重新输入
301	创建登陆-提示	门派穿越了，请重新选择
302	创建登陆-提示	性别穿越了，请重新选择
303	宝石类型	类型1
304	宝石类型	类型2
305	宝石类型	类型3
306	宝石类型	类型4
307	宝石类型	类型5
308	宝石类型	类型6
309	宝石类型	类型7
310	宝石类型	类型8
311	宝石类型	类型9
312	宝石类型	类型10
313	物品使用提示	该道具不能使用
314	物品使用提示	需要{0}级才能使用，请先升级
315	物品使用提示	当前状态不能使用该道具
316	物品使用提示	您使用了{0}
317	宝石	镶嵌
318	物品使用	请输入使用数量
319	宝石	宝石属性
320	传送	在{0}主动击败死其他玩家会受到杀气惩罚，请注意安全
321	物品使用提示	{0}数量不足，请及时补充
322	创建登陆-提示	您不能在这个服务器创建更多角色了
323	创建登陆-提示	请先创建角色
324	创建登陆-UI	点击创建角色
325	创建登陆-提示	少侠您好，目前服务器正在维护，具体信息请您关注游戏官网信息！（325）
326	创建登陆-提示	"服务器已满,不妨饮茶半盏,稍候片刻...\n静候的侠士约有#G{0}位#l\n预计时间：#G{1}#l"
327	创建登陆-提示	账号密码错误，请检查后重新输入
328	创建登陆-提示	版本错误，请更新或重新下载客户端（328）
329	创建登陆-提示	操作过于频繁，请稍后再试（329）
330	创建登陆-提示	该账号没有角色
331	创建登陆-提示	角色加载异常，请重新操作
332	创建登陆-提示	场景加载异常，请重新操作
333	创建登陆-提示	该账号无此角色，请重新操作
334	创建登陆-提示	正在努力响应，请稍候（334）
335	创建登陆-提示	角色在线，请稍后重试
336	创建登陆-提示	您刚被请离服务器，请5分钟后再试
337	创建登陆-提示	您已开始排队
338	创建登陆-提示	您正在排队
339	创建登陆-提示	排队完成
340	创建登陆-提示	超过排队上限，请稍后再试
341	创建登陆-提示	服务器人满为患，请稍后再试（341）
342	物品使用	补充金创药
343	物品使用	补充练气丹
344	创建登陆	当前游戏版本：{0}
345	创建登陆-提示	与服务器断开连接，请检查网络状况后重新操作。（345）
346	创建登陆-提示	返回服务器选择
347	创建登陆-提示	账号已经在线，点击确认继续登录。推荐使用官方提供的密保措施，如需帮助请联系客服（347）。
348	创建登陆-提示	{0}服
349	代码字典	你获得经验{0}
350	代码字典	你的珍兽获得经验{0}
351	代码字典	你获得经验{0}，同时获得经验奖励{1}
352	代码字典	你的珍兽获得经验{0}，同时获得经验奖励{1}
353	代码字典	正在进行其他动作，出战失败
354	切换账号	更换账号
355	切换账号	点击确认更换账号
356	切换账号	{0}秒后切换账号
357	科举ui和提示	准确率
358	科举ui和提示	{0}/{1}
359	科举ui和提示	活动剩余
360	科举ui和提示	金榜题名礼包
361	科举ui和提示	答完10题获得
362	科举ui和提示	累计获得
363	科举ui和提示	第{0}/{1}题
364	科举ui和提示	活动说明
365	科举ui和提示	"十年寒窗无人问,一朝成名天下知！各位饱读诗书的大侠们，可以在苏州找到欧阳修，回答题目。"
366	科举ui和提示	答完10题才能领取
367	科举ui和提示	您获得了{0}
368	科举ui和提示	您已领取过该礼包
369	科举ui和提示	请到#G{0}#l处答题
370	科举ui和提示	恭喜您获得会试资格！（废弃）
371	科举ui和提示	您没有获得会试资格，请明天再试（废弃）
372	科举ui和提示	乡试排行（废弃）
373	科举ui和提示	名字
374	科举ui和提示	幸运名额
375	科举ui和提示	请以上考生到苏州#G{0}#l处参加会试（废弃）
376	科举ui和提示	主考官
377	科举ui和提示	您的排名：第#G{0}#l名
378	科举ui和提示	科举考试排行
379	科举ui和提示	[空]
380	科举ui和提示	参加科举考试
381	科举ui和提示	参加科举会试（废弃）
382	科举ui和提示	查看科举排行榜
383	科举ui和提示	现在不是科举考试时间，请在08:00-20:30前来（废弃）
384	科举ui和提示	请20级以后再来
385	科举ui和提示	您已完成今日科举考试，请等待24点发榜。
386	科举ui和提示	请到#G{0}#l处答题
387	科举ui和提示	现在不是会试时间，请在20:30-21:30前来（废弃）
388	科举ui和提示	您没有通过科举考试，请明天再试
389	科举ui和提示	您已经完成今日会试，请等待21:30发榜（废弃）
390	科举ui和提示	您答题太快了，慢一点啊！
391	科举ui和提示	恭喜您完成此次科举考试！#r请等待24点发榜。
392	科举ui和提示	恭喜您完成此次会试！#r请等待21:30发榜。（废弃）
393	科举ui和提示	道具已使用或不存在
394	科举ui和提示	现在不能使用道具，请稍后再试
395	科举ui和提示	您打开了{0}，获得了{1}
396	角色查看提示	该玩家没有获得珍兽，无法查看
397	科举ui和提示	科举考试记得按时参加哦，祝您取得好成绩！
398	科举ui和提示	你在考场桌子下面意外发现了{0}
399	科举ui和提示	你在考场桌子下面意外发现{0}，但背包已满无法带走
400	科举ui和提示	您获得了{0}活跃值
401	科举ui和提示	参加科举需要20级，#r请先提升等级再来。
402	科举ui和提示	科举已结束
403	科举ui和提示	会试已结束（废弃）
404	登陆更新公告	更新公告
405	登陆更新公告	体验功能
406	登陆更新公告	亲爱的玩家朋友：#r     #G《天龙八部》手游#l将于#G6月16日#l开启测试。得到测试资格的玩家可直接登录游戏进行体验。#r      本次测试期间将开放#G前四十级剧情任务、珍珑棋局、惩凶打图、三环副本、燕子坞副本、帮会、神器等#l丰富的活动与系统。#r      希望您能在这里体验到丰富有趣的江湖人生。同时也会为您准备丰富的福利，衷心希望您能够提出宝贵的意见与建议，与天龙八部手游一同成长。
407	登陆更新公告	1、英雄谱 #r2、珍珑棋局 #r3、音效 #r4、随身商店、NPC商店 #r5、英雄试炼 #r6、帮会任务 #r7、琅嬛-苏州-聚贤庄任务线
408	登陆msdk	"自动登录失败, 需要重新授权（408）"
409	登陆msdk	您已取消授权
410	登陆msdk	请先安装微信
411	登陆msdk	您的网络信号不稳定，请检查后重试
412	登陆msdk	账号切换异常，点击确定重新登录。（412）
413	登陆msdk	请先安装QQ
414	登陆msdk	自动登录失败
415	登陆msdk	微信登录成功
416	登陆msdk	大厅登录成功
417	登陆msdk	游客登录成功
418	登陆msdk	QQ登录成功
419	登陆msdk	授权过程中出现网络错误，请重试（419）
420	科举ui和提示	参加新手科举
421	科举ui和提示	只有新手才能参加
422	科举ui和提示	您已经完成了新手科举
423	科举ui和提示	恭喜您完成新手科举
424	科举ui和提示	新手科举
425	科举ui和提示	朝廷内有奸臣乱政，外有强敌环伺，急需栋梁之才，故开科以招天下贤士。
426	科举ui和提示	20级以上可找苏州欧阳修参加科举考试。
427	登陆msdk	"自动登录失败, 请重新登录（427）"
428	登陆msdk	此次为限量放号测试，请输入正确的测试账号
429	登陆msdk	游客模式登录失败，请重试
430	登陆msdk	游客模式注册失败，请重试
431	登陆msdk	确认
432	登陆msdk	连接失败，请重新登录（432）
433	角色查看提示	属性
434	角色查看提示	珍兽
435	角色查看提示	神器
436	角色查看提示	暗器
437	在线领奖	剩余#G{0}#l分钟
438	个人说明	更新个人说明成功
439	科举ui和提示	现在不是科举考试时间#r请在08:00-20:30前来（废弃）
440	科举ui和提示	今日科举正在发榜，请24点以后再来参加！
441	科举ui和提示	您没有通过科举考试，#r请明天再试!
442	调研	调研
443	系统显示	硬件性能过低，少侠需要更高配置的设备才能闯荡江湖！
444	登陆	少侠未获得本次测试的体验资格，或者服务器未开启！
445	醒目提示	今日通过该途径获取活跃值的次数已达上限，该次数上限可在活跃好礼界面中进行查看。
446	醒目提示	当前处于异常状态，无法自动寻路。
#447-457服务器等级		
447	服务器等级	您的等级已超过服务器限制#Y{0}#W级#r日常玩法获得经验降为#Y{1}%#r#G当前服务器限制等级：{2}
448	服务器等级	当前由于服务器等级较高，升级享受额外经验加成。#r#G当前服务器限制等级：{0}#r经验加成：{1}%
449	服务器等级	#G当前服务器限制等级：{0}
450	服务器等级	#G关于服务器等级#r#W角色等级无法高于服务器限制等级。#r当角色等级远低于服务器等级，在所有玩法中会获得额外的经验。#r当前服务器上限等级：#G {0}
451	服务器等级	你获得经验{0}(服务器等级加成{1}%)
452	服务器等级	你获得经验{0}，同时获得经验奖励{1}(服务器等级加成{2}%)
453	服务器等级	#r#G{0}天后即将开启新上限等级：{1}
454	服务器等级	"#r#G{0}#W天后即将开启新上限等级：#G{1}#r#G帮会修炼对等级的影响:#W#r49级升50级,需要所有修炼等级达到20级；#r从49级开始，每升5级，当升下一级时，所需要的修炼等级增加10级；"
455	修炼等级提示（GM）	修炼等级不足，无法升至更高等级
456	醒目提示	由于您的经验已达上限，本次只能获得{0}经验！
457	醒目提示	您的经验已经到达服务器等级上限
#458-1000杂七杂八		
458	活动推送	活动
459	活动推送	周期
460	活动推送	时间
461	活动推送	人数
462	活动推送	推送
463	活动推送	开启推送，将在活动即将开始时收到线下通知
464	分线设置	{0}线
465	系统设置	该玩家拒绝添加好友
466	系统设置	该玩家拒绝陌生人会话
467	系统设置	该玩家拒绝组队和团队邀请
468	批量使用	道具未成功使用！
469	登陆	新门派即将开放，敬请期待！
470	登录	当前角色已在线，是否直接进入游戏？
471	登录	正在将角色下线，请稍后再进行登录操作。
472	登陆	少侠您好，目前服务器正在维护中，请您耐心等待开服时间并随时关注官网活动。天龙有你更精彩！
473	登陆	少侠您好，很抱歉您暂未获得本次测试的资格，请您持续关注《天龙八部手游官网》，感谢您的关注！
474	更新公告	暂无公告
475	登陆	客户端版本和服务器不匹配{0}
476	场景分线提示	目标场景人数已满，请稍后再试。
477	场景分线提示	您所选择的分线无效，请选择其他分线。
478	场景分线提示	您所选择的分线人数已满，请稍后再试。
479	登录 	帐号授权失败，请重新操作！（479）
480	GM指令 	系统邮件
481	登录	"当前授权过期,重新登录才能正常使用游戏中所有功能。点击“确定”重新登录，点击“取消”返回游戏。(481)"
482	登录	授权失败！请返回登录界面重新授权。
483	登录	微信授权成功！
484	登录	支付验证超时，请重试
485	支付	苹果应用内支付成功，请稍后查收
486	支付	苹果应用内支付下单成功
487	支付	支付失败，请稍后再试！(487)
488	支付	支付失败，请稍后再试！(488)
489	支付	支付失败，商品信息有误，请联系客服处理！(489)
490	支付	支付失败，当前设备已锁，请联系客服处理！(490)
491	支付	支付失败，请稍后再试！(491)
492	支付	支付失败，请稍后再试！(492)
493	支付	获取元宝信息失败，请重新登录授权！(493)
494	支付	获取元宝信息失败，请联系客服处理！(494)
495	支付	获取元宝信息失败，请重新登录授权！(495)
496	支付	获取元宝信息失败，请联系客服处理！(496)
497	支付	当前网络不稳定，请稍后再试！(497)
498	支付	当前网络不稳定，请稍后再试！(498)
499	支付	当前网络不稳定，请重新登录授权！(499)
500	支付	恢复非消耗道具过程中出现网络错误（500）
501	支付	当前网络不稳定，请稍后再试！(501)
502	支付	支付失败，请重新登录授权！(502)
503	支付 	支付已取消，欢迎下次购买。
504	支付 	支付失败，请稍后再试！
505	支付 	支付成功！
506	支付 	正常发货成功，请求余额
507	支付 	补发货成功，请求余额
508	科举优化	您没有通过科举考试，请明天再试
509	科举优化	您已经完成今日会试，请等待21:30发榜（废弃）
510	科举优化	找{0}回答科举题目
511	科举优化	科举任务过期，已删除
512	科举优化	帮会求助({0}/{1})
513	科举优化	此题少侠已作答，不需要求助
514	科举优化	请先加入帮会，才能使用求助
515	科举优化	今日求助次数已经用完了
516	科举优化	此题已发起过求助，请查看回复
517	科举优化	"求助：[33CCFF]#aB[#DIC{0}]#aE#ExtraData{1}|{2}|Exam|{3}|{4}|{5},1,-1"
518	科举优化	这是您自己的求助题目
519	科举优化	已经有人回答了
520	科举优化	今日帮忙次数已用完，请明天再试
521	科举优化	今日已相助同帮答题{0}次，还能相助{1}次
522	科举优化	{0}回复了您的求助
523	科举优化	{0}的回答：{1}
524	科举优化	您没有发起求助
525	科举优化	此题少侠已作答，不需要查看
526	科举优化	还没有收到回复，少侠也可以自己作答
527	科举优化	查看回复
528	科举任务	前往#Y欧阳修#l处答完10道科举题
529	科举任务	前往#Y赵翰林#l处继续完成科举
530	科举任务	前往#Y李翰林#l处继续完成科举
531	科举任务	前往#Y王翰林#l处继续完成科举
532	科举任务	朝廷诚招各位饱学之士参加科举选拔。一旦夺得三甲，朝廷会赐予状元、榜眼和探花称号，可称得上是极大的荣耀。
533	科举任务	科举分乡试和会试，通过乡试且名列前茅就能参加会试。一旦夺得三甲，朝廷会赐予状元、榜眼和探花称号，可称得上是极大的荣耀。
534	科举任务	科举分乡试和会试，通过乡试且名列前茅就能参加会试。一旦夺得三甲，朝廷会赐予状元、榜眼和探花称号，可称得上是极大的荣耀。
535	科举任务	科举分乡试和会试，通过乡试且名列前茅就能参加会试。一旦夺得三甲，朝廷会赐予状元、榜眼和探花称号，可称得上是极大的荣耀。
536	科举任务	科举完成
537	科举任务	科举完成2
538	科举任务	科举完成3
539	科举任务	科举完成4
540	科举优化	对方已离线
541	科举优化	求助成功
542	支付	支付中
543	支付	支付信息同步异常，是否尝试刷新？
544	支付	支付信息暂时无法同步，请尝试重新登录，或寻求客服帮助。
545	科举优化	回答{0}:#DIC{1}|{2}
546	科举优化	恭喜您在乡试中名列前茅，获得会试资格，请立即到苏州欧阳修处（128.227）参加会试，会试时间为每日20:30-21:30。（废弃）
547	科举优化	您的乡试答卷被主考官一眼看中，视为奇才！额外获得会试资格，请立即到苏州欧阳修处（128.227）参加会试，会试时间为每日20:30-21:30。（废弃）
548	科举优化	恭喜您在科举考试中被钦点为#Y状元#l，请领取朝廷颁发的奖品。
549	科举优化	状元
550	科举优化	榜眼
551	科举优化	探花
552	科举优化	进士
553	科举优化	恭喜您获得会试资格（废弃）
554	科举优化	恭喜您获得会试幸运名额（废弃）
555	科举优化	科举会试发榜啦！（废弃）
556	快捷使用	使用
557	快捷使用	激活
558	快捷使用	装备
559	支付	米大师服务器出现故障，暂时禁用支付功能。为您带来不便敬请谅解。
560	科举优化	皇恩浩荡，金科放榜，恭喜以下考生被钦点为三甲：状元#aB[{0}]#aE、榜眼#aB[{1}]#aE、探花[00FFFC][空][-]。#uGuid{2}#uGuid{3}
561	科举优化	皇恩浩荡，金科放榜，恭喜以下考生被钦点为三甲：状元#aB[{0}]#aE、榜眼[00FFFC][空][-]、探花[00FFFC][空][-]。#uGuid{1}
562	科举优化	皇恩浩荡，金科放榜，恭喜以下考生被钦点为三甲：状元[00FFFC][空][-]、榜眼[00FFFC][空][-]、探花[00FFFC][空][-]。
563	首充	前往充值
564	首充	一键领取
565	安全	系统检测到少侠之前有不正当的游戏行为，目前处于封停状态无法登录。#r状态解除剩余时间 ：永久封停
566	安全	系统检测到少侠之前有不正当的游戏行为，目前处于封停状态无法登录。#r状态解除剩余时间 ：{0}
567	安全	客服专线
568	安全	确认
569	安全	少侠您好：由于您在游戏中存在多次不正当游戏行为，该账号已被强制下线，有任何问题请联系游戏客服。
570	安全	系统检测到少侠之前有不正当的游戏行为，例如使用外挂、尝试修改客户端等，目前处于零收益状态。零收益状态下会被限制部分游戏功能，并且无法获得游戏奖励。#r状态解除剩余时间 ：{0}
571	安全	当前处于零收益状态，无法获得奖励
572	安全	零收益状态已解除
573	安全	系统检测到少侠之前有不恰当的游戏言论，目前处于禁言状态无法发言。#r状态解除剩余时间 ：{0}
574	安全	您已被禁言，剩余：{0}
