INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
8	逃难百姓	1	1	6	0	-1	3	-1	8	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	1200	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	 	10002	1	1	-1	100	50	11153	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10203	0	0	0	0	0	0
9	辽国枪兵	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	1500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10003	1	1	-1	100	50	11118	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
10	辽国弓箭手	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10004	1	1	-1	100	50	11117	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
11	辽国骑兵	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10005	1	1	-1	100	50	11119	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
12	北院大王	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10008	1	1	-1	100	50	11116	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
13	耶律洪基	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10020	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
14	赵天师	1	100	299	0	-1	3	-1	8	20	1	0.1	1	0	17700	13616	17700	13616	82115	12000	0	0	23499	3357	271	271	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10018	1	1	-1	100	50	11028	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10019	0	0	0	0	0	0
15	段誉	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10007	1	1	-1	100	50	11002	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10009	0	0	0	0	0	0
16	左子穆	1	10	11	0	-1	3	-1	8	20	1	0.1	1	1	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10031	1	1	-1	100	50	11026	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10017	0	0	0	0	0	0
17	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10022	1	1	-1	100	50	11024	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10016	0	0	0	0	0	0
18	木婉清	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10036	1	1	-1	100	50	11014	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10012	0	0	0	0	0	0
19	司空玄	1	7	9	0	-1	3	-1	8	20	1	0.1	1	0	96	96	96	96	247	157	0	0	117	17	38	38	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10021	1	1	-1	100	50	11027	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10020	0	0	0	0	0	0
20	朱丹臣	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10024	1	1	-1	100	50	11025	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10015	0	0	0	0	0	0
21	段正淳	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10035	1	1	-1	100	50	11003	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10010	0	0	0	0	0	0
22	无量剑派弟子	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10028	1	1	-1	100	50	11134	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10018	0	0	0	0	0	0
23	司空玄	1	10	11	0	-1	3	-1	8	20	1	0.1	1	1	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10021	1	1	-1	100	50	11027	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10020	0	0	0	0	0	0
24	龚光杰	1	5	8	0	-1	0	-1	9	20	1	0.1	1	1	74	73	74	73	180	141	0	0	90	14	33	33	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10023	1	1	-1	100	50	11006	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	0	10011	0	0	0	0	0	0
25	地痞	1	3	7	0	-1	0	-1	9	20	1	0.1	1	0	52	51	52	51	119	125	0	0	63	10	28	28	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10033	1	1	-1	100	50	11084	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10172	0	0	0	0	0	0
26	神农帮帮众	1	6	9	0	-1	0	-1	9	20	1	0.1	1	0	85	84	85	84	213	149	0	0	103	15	35	35	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10025	1	1	-1	100	50	11129	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10202	0	0	0	0	0	0
27	阿洪	1	6	9	0	-1	0	-1	9	20	1	0.1	1	0	85	84	85	84	213	149	0	0	103	15	35	35	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10032	1	1	-1	100	50	11130	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
28	灵鹫宫使者	1	8	10	0	-1	0	-1	9	20	1	0.1	1	0	108	107	108	107	283	165	0	0	131	19	40	40	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10026	1	1	-1	100	50	11120	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10230	0	0	0	0	0	0
29	通天草	1	1	6	0	-1	3	-1	8	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10113	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
30	段誉	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10007	1	1	-1	100	50	11002	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10009	0	0	0	0	0	0
31	段誉	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10007	1	1	-1	100	50	11002	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10009	0	0	0	0	0	0
32	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10022	1	1	-1	100	50	11024	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10016	0	0	0	0	0	0
33	段誉	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10007	1	1	-1	100	50	11002	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10009	0	0	0	0	0	0
34	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10022	1	1	-1	100	50	11024	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10016	0	0	0	0	0	0
35	段誉	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10007	1	1	-1	100	50	11002	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10009	0	0	0	0	0	0
36	木婉清	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10036	1	1	-1	100	50	11014	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10012	0	0	0	0	0	0
37	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10022	1	1	-1	100	50	11024	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10016	0	0	0	0	0	0
38	呆呆呆(宠物)	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	20001	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
39	段延庆	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	142	1	1	-1	100	50	11040	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10022	0	0	0	0	0	0
40	青年男子	1	5	8	0	-1	3	-1	8	20	1	0.1	1	0	74	73	74	73	180	141	0	0	90	14	33	33	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10027	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
41	黑衣人	1	10	11	0	-1	0	-1	9	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10034	1	1	-1	100	50	11007	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10183	0	0	0	0	0	0
42	龚光杰打斗动画	1	5	8	0	-1	3	-1	8	20	1	0.1	1	0	74	73	74	73	180	141	0	0	90	14	33	33	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10038	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
43	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10039	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
44	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	400	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10040	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
45	木婉清	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	400	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10041	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10012	0	0	0	0	0	0
46	黑衣人	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	400	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10042	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
47	黑衣人	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	400	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10042	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
48	无量剑派弟子	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10028	1	1	-1	100	50	11134	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10018	0	0	0	0	0	0
49	神农帮精英弟子	1	6	9	0	-1	3	-1	8	20	1	0.1	1	0	85	84	85	84	213	149	0	0	103	15	35	35	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10032	1	1	-1	100	50	11130	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
50	司空玄	1	7	9	0	-1	0	-1	9	20	1	0.1	1	1	96	96	96	96	247	157	0	0	117	17	38	38	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10021	1	1	-1	100	50	11027	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
51	龚光杰	1	5	8	0	-1	3	-1	8	20	1	0.1	1	0	74	73	74	73	180	141	0	0	90	14	33	33	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10023	1	1	-1	100	50	11006	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10011	0	0	0	0	0	0
52	阿胜	1	6	9	0	-1	0	-1	9	20	1	0.1	1	0	85	84	85	84	213	149	0	0	103	15	35	35	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10032	1	1	-1	100	50	11130	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
53	黑衣人	1	10	11	0	-1	0	-1	9	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10034	1	1	-1	100	50	11007	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10183	0	0	0	0	0	0
54	黑衣人	1	10	11	0	-1	0	-1	9	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10034	1	1	-1	100	50	11007	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10183	0	0	0	0	0	0
55	黑衣人	1	10	11	0	-1	0	-1	9	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10034	1	1	-1	100	50	11007	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10183	0	0	0	0	0	0
56	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	400	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10040	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
57	木婉清	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	400	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10036	1	1	-1	100	50	11014	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10012	0	0	0	0	0	0
58	无量剑派弟子	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10028	1	1	-1	100	50	11134	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10018	0	0	0	0	0	0
59	无量剑派弟子	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10028	1	1	-1	100	50	11134	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10018	0	0	0	0	0	0
60	无量剑派弟子	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10028	1	1	-1	100	50	11134	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10018	0	0	0	0	0	0
61	蛇	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10058	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
62	蛇	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10058	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
63	闪电貂	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10064	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
64	北院枢密使	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10008	1	1	-1	100	50	11116	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	0	0	0	0	0	0	0
65	钟灵	1	10	11	0	-1	3	-1	8	20	1	0.1	1	0	132	132	132	132	360	183	0	0	161	23	46	46	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10022	1	1	-1	100	0	11024	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10016	0	0	0	0	0	0
